年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
1997,12,1,350,C
1997,12,2,010,C
1997,12,3,010,C
1997,12,4,010,C
1997,12,5,010,C
1997,12,6,120,C
1997,12,7,360,C
1997,12,8,010,C
1997,12,9,020,C
1997,12,10,010,C
1997,12,11,010,C
1997,12,12,010,C
1997,12,13,360,C
1997,12,14,350,C
1997,12,15,120,C
1997,12,16,100,C
1997,12,17,340,C
1997,12,18,110,C
1997,12,19,100,C
1997,12,20,120,C
1997,12,21,120,C
1997,12,22,010,C
1997,12,23,010,C
1997,12,24,010,C
1997,12,25,110,C
1997,12,26,360,C
1997,12,27,360,C
1997,12,28,120,C
1998,1,3,100,C
1998,1,4,340,C
1998,1,5,010,C
1998,1,9,120,C
1998,1,10,100,C
1998,1,11,340,C
1998,1,12,010,C
1998,1,13,110,C
1998,1,14,350,C
1998,1,15,350,C
1998,1,18,010,C
1998,1,19,020,C
1998,1,21,360,C
1998,1,22,340,C
1998,1,23,010,C
1998,1,29,020,C
1998,1,30,100,C
1998,1,31,100,C
1998,2,5,020,C
1998,2,6,360,C
1998,2,7,350,C
1998,2,8,130,C
1998,2,10,120,C
1998,2,13,100,C
1998,2,14,090,C
1998,2,15,110,C
1998,2,16,130,C
1998,2,18,120,C
1998,2,19,210,C
1998,2,20,200,C
1998,2,22,010,C
1998,2,24,350,C
1998,2,25,020,C
1998,2,26,020,C
1998,2,28,010,C
1998,3,1,120,C
1998,3,2,110,C
1998,3,4,120,C
1998,3,6,110,C
1998,3,14,100,C
1998,3,15,110,C
1998,3,17,110,C
1998,3,18,120,C
1998,3,19,120,C
1998,3,21,120,C
1998,3,22,010,C
1998,3,23,350,C
1998,3,24,340,C
1998,3,25,120,C
1998,3,26,120,C
1998,4,1,210,C
1998,4,3,120,C
1998,4,4,110,C
1998,4,6,090,C
1998,4,7,090,C
1998,4,9,190,C
1998,4,10,140,C
1998,4,11,150,C
1998,4,15,130,C
1998,4,22,190,C
1998,5,3,340,C
1998,5,4,100,C
1998,5,5,110,C
1998,5,6,120,C
1998,5,9,130,C
1998,5,31,120,C
1998,6,5,350,C
1998,6,10,200,C
1998,6,14,200,C
1998,6,15,210,C
1998,6,16,210,C
1998,6,17,200,C
1998,6,18,200,C
1998,6,19,200,C
1998,6,22,200,C
1998,6,23,190,C
1998,6,24,190,C
1998,6,26,150,C
1998,6,27,110,C
1998,6,28,130,C
1998,6,29,130,C
1998,7,2,100,C
1998,7,3,100,C
1998,7,5,100,C
1998,7,6,100,C
1998,7,7,130,C
1998,7,8,140,C
1998,7,10,200,C
1998,7,11,210,C
1998,7,12,210,C
1998,7,13,200,C
1998,7,14,200,C
1998,7,15,200,C
1998,7,16,210,C
1998,7,17,210,C
1998,7,18,210,C
1998,7,19,210,C
1998,7,20,200,C
1998,7,21,200,C
1998,7,23,200,C
1998,7,25,200,C
1998,7,26,200,C
1998,7,27,210,C
1998,7,28,210,C
1998,7,30,200,C
1998,8,1,210,C
1998,8,2,200,C
1998,8,3,200,C
1998,8,4,210,C
1998,8,5,210,C
1998,8,7,190,C
1998,8,8,090,C
1998,8,9,100,C
1998,8,11,130,C
1998,8,12,130,C
1998,8,13,210,C
1998,8,14,210,C
1998,8,15,200,C
1998,8,16,200,C
1998,8,17,130,C
1998,8,18,210,C
1998,8,19,200,C
1998,8,20,130,C
1998,8,22,110,C
1998,8,25,200,C
1998,8,26,210,C
1998,8,29,340,C
1998,8,30,210,C
1998,8,31,100,C
1998,9,1,360,C
1998,9,2,090,C
1998,9,3,130,C
1998,9,4,130,C
1998,9,5,210,C
1998,9,6,090,C
1998,9,7,120,C
1998,9,8,210,C
1998,9,11,020,C
1998,9,12,020,C
1998,9,13,090,C
1998,9,14,100,C
1998,9,16,110,C
1998,9,19,100,C
1998,9,20,340,C
1998,9,21,350,C
1998,9,22,130,C
1998,9,26,110,C
1998,9,27,340,C
1998,10,1,020,C
1998,10,2,090,C
1998,10,7,130,C
1998,10,10,090,C
1998,10,11,100,C
1998,10,12,090,C
1998,10,14,350,C
1998,10,17,010,C
1998,10,18,020,C
1998,10,20,080,C
1998,10,21,020,C
1998,10,22,020,C
1998,10,23,020,C
1998,10,24,020,C
1998,10,25,010,C
1998,10,26,340,C
1998,10,27,340,C
1998,10,28,010,C
1998,10,29,120,C
1998,10,31,130,C
1998,11,1,120,C
1998,11,2,350,C
1998,11,3,020,C
1998,11,4,090,C
1998,11,5,010,C
1998,11,6,010,C
1998,11,8,100,C
1998,11,10,030,C
1998,11,11,090,C
1998,11,12,120,C
1998,11,13,100,C
1998,11,14,100,C
1998,11,15,130,C
1998,11,16,100,C
1998,11,17,340,C
1998,11,18,120,C
1998,11,20,010,C
1998,11,21,020,C
1998,11,22,010,C
1998,11,23,020,C
1998,11,24,020,C
1998,11,25,010,C
1998,11,26,010,C
1998,11,27,360,C
1998,11,28,010,C
1998,11,29,110,C
1998,11,30,100,C
1998,12,1,120,C
1998,12,3,360,C
1998,12,4,360,C
1998,12,5,010,C
1998,12,6,020,C
1998,12,7,360,C
1998,12,8,010,C
1998,12,9,020,C
1998,12,10,010,C
1998,12,12,010,C
1998,12,13,020,C
1998,12,14,010,C
1998,12,15,360,C
1998,12,16,360,C
1998,12,17,020,C
1998,12,18,360,C
1998,12,19,360,C
1998,12,20,010,C
1998,12,21,350,C
1998,12,22,330,C
1998,12,23,360,C
1998,12,24,090,C
1998,12,25,020,C
1998,12,26,100,C
1998,12,27,010,C
1998,12,28,110,C
1998,12,29,120,C
1998,12,30,120,C
1998,12,31,120,C
1999,1,1,100,C
1999,1,3,010,C
1999,1,4,010,C
1999,1,5,090,C
1999,1,6,360,C
1999,1,7,010,C
1999,1,8,020,C
1999,1,10,020,C
1999,1,11,010,C
1999,1,12,360,C
1999,1,13,010,C
1999,1,14,360,C
1999,1,15,010,C
1999,1,16,020,C
1999,1,17,010,C
1999,1,18,340,C
1999,1,20,340,C
1999,1,21,020,C
1999,1,22,090,C
1999,1,23,340,C
1999,1,24,110,C
1999,1,25,100,C
1999,1,28,320,C
1999,1,29,110,C
1999,1,30,120,C
1999,1,31,110,C
1999,2,1,100,C
1999,2,2,010,C
1999,2,3,020,C
1999,2,4,030,C
1999,2,6,110,C
1999,2,7,100,C
1999,2,9,130,C
1999,2,10,110,C
1999,2,11,330,C
1999,2,12,010,C
1999,2,13,110,C
1999,2,14,100,C
1999,2,15,100,C
1999,2,17,110,C
1999,2,18,360,C
1999,2,19,020,C
1999,2,20,010,C
1999,2,21,010,C
1999,2,22,010,C
1999,2,23,100,C
1999,2,25,110,C
1999,2,26,100,C
1999,2,27,330,C
1999,2,28,100,C
1999,3,1,110,C
1999,3,2,100,C
1999,3,3,100,C
1999,3,4,100,C
1999,3,5,090,C
1999,3,6,100,C
1999,3,7,100,C
1999,3,8,110,C
1999,3,9,110,C
1999,3,10,110,C
1999,3,11,020,C
1999,3,12,020,C
1999,3,13,360,C
1999,3,14,350,C
1999,3,15,350,C
1999,3,16,100,C
1999,3,18,190,C
1999,3,19,190,C
1999,3,20,100,C
1999,3,21,340,C
1999,3,22,020,C
1999,3,25,120,C
1999,3,26,190,C
1999,3,27,330,C
1999,3,28,110,C
1999,3,29,110,C
1999,3,30,020,C
1999,3,31,130,C
1999,4,1,130,C
1999,4,2,100,C
1999,4,3,120,C
1999,4,5,340,C
1999,4,6,130,C
1999,4,8,120,C
1999,4,9,100,C
1999,4,10,120,C
1999,4,11,110,C
1999,4,12,320,C
1999,4,13,120,C
1999,4,14,110,C
1999,4,15,110,C
1999,4,16,120,C
1999,4,18,210,C
1999,4,19,340,C
1999,4,20,110,C
1999,4,21,110,C
1999,4,22,350,C
1999,4,23,130,C
1999,4,24,160,C
1999,4,25,160,C
1999,4,26,130,C
1999,4,27,110,C
1999,4,28,020,C
1999,4,29,020,C
1999,4,30,020,C
1999,5,2,350,C
1999,5,3,210,C
1999,5,4,210,C
1999,5,5,010,C
1999,5,6,090,C
1999,5,7,100,C
1999,5,8,030,C
1999,5,9,010,C
1999,5,10,340,C
1999,5,11,090,C
1999,5,12,110,C
1999,5,15,130,C
1999,5,22,120,C
1999,6,14,200,C
1999,7,4,100,C
1999,7,10,200,C
1999,7,19,220,C
1999,7,20,210,C
1999,7,22,210,C
1999,12,15,020,C
1999,12,16,010,C
1999,12,17,010,C
1999,12,18,020,C
1999,12,19,010,C
1999,12,21,010,C
1999,12,22,020,C
1999,12,23,010,C
1999,12,24,010,C
1999,12,25,360,C
1999,12,27,120,C
1999,12,28,100,C
1999,12,29,320,C
1999,12,30,100,C
1999,12,31,120,C
2000,1,1,100,C
2000,1,2,350,C
2000,1,5,100,C
2000,1,6,100,C
2000,1,7,130,C
2000,1,8,100,C
2000,1,9,100,C
2000,1,10,130,C
2000,1,11,120,C
2000,1,12,110,C
2000,1,13,330,C
2000,1,14,110,C
2000,1,15,100,C
2000,1,16,340,C
2000,1,17,350,C
2000,1,18,360,C
2000,1,19,020,C
2000,1,20,020,C
2000,1,21,070,C
2000,1,22,020,C
2000,1,23,350,C
2000,1,24,110,C
2000,1,26,010,C
2000,1,27,020,C
2000,1,28,020,C
2000,1,29,340,C
2000,1,30,010,C
2000,1,31,010,C
2000,2,1,360,C
2000,2,2,360,C
2000,2,3,350,C
2000,2,4,360,C
2000,2,5,340,C
2000,2,6,340,C
2000,2,7,340,C
2000,2,8,010,C
2000,2,9,120,C
2000,2,10,100,C
2000,2,11,100,C
2000,2,12,120,C
2000,2,13,120,C
2000,2,14,330,C
2000,2,18,110,C
2000,2,19,100,C
2000,2,20,340,C
2000,2,21,010,C
2000,2,22,100,C
2000,2,23,010,C
2000,2,29,010,C
2000,3,1,010,C
2000,3,2,360,C
2000,3,3,360,C
2000,3,4,090,C
2000,3,5,090,C
2000,3,6,110,C
2000,3,7,130,C
2000,3,9,120,C
2000,3,10,120,C
2000,3,11,100,C
2000,3,12,350,C
2000,3,13,120,C
2000,3,14,110,C
2000,3,16,340,C
2000,3,17,120,C
2000,3,18,100,C
2000,3,20,120,C
2000,3,21,100,C
2000,3,22,100,C
2000,3,23,100,C
2000,3,24,120,C
2000,3,25,120,C
2000,3,27,100,C
2000,3,28,350,C
2000,3,29,120,C
2000,3,30,110,C
2000,3,31,120,C
2000,4,1,180,C
2000,4,2,120,C
2000,4,3,110,C
2000,4,4,340,C
2000,4,5,360,C
2000,4,6,110,C
2000,4,7,100,C
2000,4,8,110,C
2000,4,9,100,C
2000,4,10,120,C
2000,4,12,100,C
2000,4,13,110,C
2000,4,14,210,C
2000,4,15,010,C
2000,4,16,020,C
2000,4,17,120,C
2000,4,18,100,C
2000,4,20,210,C
2000,4,21,210,C
2000,4,23,100,C
2000,4,24,110,C
2000,4,25,200,C
2000,4,29,100,C
2000,4,30,210,C
2000,5,1,210,C
2000,5,2,110,C
2000,5,3,110,C
2000,5,5,100,C
2000,5,7,120,C
2000,5,8,120,C
2000,5,10,100,C
2000,5,11,110,C
2000,5,12,120,C
2000,5,13,130,C
2000,5,14,120,C
2000,5,15,120,C
2000,5,16,210,C
2000,5,17,130,C
2000,5,18,120,C
2000,5,19,010,C
2000,5,20,020,C
2000,5,21,010,C
2000,5,22,130,C
2000,5,23,130,C
2000,5,24,120,C
2000,5,25,190,C
2000,5,26,200,C
2000,5,27,210,C
2000,5,28,190,C
2000,5,29,150,C
2000,5,31,140,C
2000,6,1,140,C
2000,6,2,130,C
2000,6,3,200,C
2000,6,4,210,C
2000,6,5,210,C
2000,6,6,210,C
2000,6,7,210,C
2000,6,8,210,C
2000,6,9,210,C
2000,6,10,210,C
2000,6,11,210,C
2000,6,12,010,C
2000,6,13,020,C
2000,6,14,120,C
2000,6,15,120,C
2000,6,16,120,C
2000,6,17,020,C
2000,6,18,080,C
2000,6,19,200,C
2000,6,20,190,C
2000,6,21,190,C
2000,6,22,200,C
2000,6,23,200,C
2000,6,24,190,C
2000,6,25,170,C
2000,6,26,160,C
2000,6,27,130,C
2000,6,30,190,C
2000,7,1,100,C
2000,7,2,110,C
2000,7,3,100,C
2000,7,4,120,C
2000,7,5,210,C
2000,7,6,090,C
2000,7,7,340,C
2000,7,8,210,C
2000,7,9,200,C
2000,7,10,120,C
2000,7,11,130,C
2000,7,12,130,C
2000,7,13,130,C
2000,7,14,130,C
2000,7,15,090,C
2000,7,16,100,C
2000,7,17,180,C
2000,7,18,200,C
2000,7,19,200,C
2000,7,20,120,C
2000,7,21,130,C
2000,7,22,210,C
2000,7,23,210,C
2000,7,24,200,C
2000,7,25,210,C
2000,7,26,210,C
2000,7,29,210,C
2000,7,30,210,C
2000,7,31,210,C
2000,8,1,210,C
2000,8,2,200,C
2000,8,4,100,C
2000,8,5,100,C
2000,8,6,100,C
2000,8,7,100,C
2000,8,8,210,C
2000,8,13,210,C
2000,8,14,210,C
2000,8,17,200,C
2000,8,18,100,C
2000,8,19,120,C
2000,8,20,130,C
2000,8,21,130,C
2000,8,22,090,C
2000,8,23,320,C
2000,8,24,210,C
2000,8,25,210,C
2000,8,26,100,C
2000,8,27,320,C
2000,8,28,010,C
2000,8,29,350,C
2000,8,30,360,C
2000,9,3,120,C
2000,9,4,090,C
2000,9,5,210,C
